City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Ichinohe,JP,2021-09-26 13:03:51,40.2069,141.3017,54.25,96,72,4.38
129,Khatanga,RU,2021-09-26 13:03:52,71.9667,102.5,33.4,84,100,8.3
130,Deder,ET,2021-09-26 13:03:52,9.3167,41.45,66.47,61,98,0.92
131,Beloha,MG,2021-09-26 13:03:52,-25.1667,45.05,89.62,19,0,5.46
132,Iralaya,HN,2021-09-26 13:03:53,15.0,-83.2333,77.58,89,100,3.67
133,Belmonte,BR,2021-09-26 13:03:53,-15.8631,-38.8828,70.3,71,92,8.99
134,Sindi,IN,2021-09-26 13:03:53,20.8,78.8667,85.08,77,99,3.8
135,Lerum,SE,2021-09-26 13:03:54,57.7745,12.2697,66.27,61,0,3.0
136,Lekoni,GA,2021-09-26 13:03:54,-1.5843,14.2591,86.41,49,89,1.39
137,Kavieng,PG,2021-09-26 13:03:54,-2.5744,150.7967,82.31,80,96,11.36
138,Russell,US,2021-09-26 13:00:15,32.3502,-85.1999,63.97,94,1,0.0
139,Dukat,RU,2021-09-26 13:03:55,62.55,155.55,24.85,94,63,3.76
140,Clyde River,CA,2021-09-26 13:03:55,70.4692,-68.5914,26.51,86,13,5.73
141,Pevek,RU,2021-09-26 13:03:55,69.7008,170.3133,30.83,95,100,15.61
142,Abeche,TD,2021-09-26 13:03:55,13.8292,20.8324,93.67,31,30,3.71
143,Belgrade,RS,2021-09-26 13:03:56,44.804,20.4651,84.38,33,0,4.61
144,Umm Lajj,SA,2021-09-26 13:03:56,25.0213,37.2685,86.85,61,1,22.19
145,Payakumbuh,ID,2021-09-26 13:03:56,-0.2202,100.6308,72.3,96,100,2.15
146,Acajutla,SV,2021-09-26 13:03:57,13.5928,-89.8275,79.2,79,80,4.47
147,Aklavik,CA,2021-09-26 13:03:57,68.2191,-135.0107,29.52,91,100,8.77
148,Port Hardy,CA,2021-09-26 13:03:57,50.6996,-127.4199,53.87,95,100,18.05
149,Opuwo,NA,2021-09-26 13:03:58,-18.0607,13.84,96.44,7,0,9.75
150,Barrow,US,2021-09-26 13:03:58,71.2906,-156.7887,17.62,93,20,0.0
151,Eureka,US,2021-09-26 13:03:58,40.8021,-124.1637,56.19,75,68,2.86
152,Roma,US,2021-09-26 13:02:27,43.2128,-75.4557,59.38,89,90,3.44
153,Dolhesti,RO,2021-09-26 13:03:59,46.8667,27.9,70.86,38,21,9.33
154,Durant,US,2021-09-26 13:03:45,33.994,-96.3708,66.56,72,1,0.0
155,Andenes,NO,2021-09-26 13:03:59,69.3143,16.1194,50.07,93,75,19.57
156,Yellowknife,CA,2021-09-26 13:03:59,62.456,-114.3525,35.42,100,98,5.99
157,Kamenka,RU,2021-09-26 13:04:00,51.3223,42.7678,53.85,76,91,13.6
158,Oktyabrskoye,RU,2021-09-26 13:04:00,43.0645,44.7417,64.54,39,40,8.95
159,Totness,SR,2021-09-26 13:04:00,5.8833,-56.3167,82.53,78,53,6.82
160,Esperance,AU,2021-09-26 13:04:01,-33.8667,121.9,59.09,82,93,9.28
161,Maniitsoq,GL,2021-09-26 13:04:01,65.4167,-52.9,32.14,50,0,4.05
162,Jacksonville Beach,US,2021-09-26 13:04:01,30.2947,-81.3931,75.22,82,1,4.61
163,Bluff,NZ,2021-09-26 13:04:02,-46.6,168.3333,39.79,64,13,2.98
164,Provideniya,RU,2021-09-26 13:04:02,64.3833,-173.3,32.14,84,100,5.84
165,Tuatapere,NZ,2021-09-26 13:04:02,-46.1333,167.6833,39.81,86,87,4.34
166,Linxia,CN,2021-09-26 13:04:03,35.6003,103.2064,56.62,72,90,1.95
167,Fortuna,US,2021-09-26 13:04:03,40.5982,-124.1573,55.92,67,90,0.0
168,Paysandu,UY,2021-09-26 13:04:03,-32.3214,-58.0756,68.61,71,6,6.73
169,Okha,RU,2021-09-26 13:04:04,53.5739,142.9478,45.34,75,5,9.64
170,Kautokeino,NO,2021-09-26 13:04:04,69.0125,23.0412,46.09,76,99,18.86
171,Ekhabi,RU,2021-09-26 13:04:04,53.5102,142.9671,43.95,77,4,8.21
172,Ribeira Grande,PT,2021-09-26 13:04:05,38.5167,-28.7,73.8,73,20,23.02
173,Vysokovsk,RU,2021-09-26 13:04:05,56.3167,36.55,49.86,86,91,11.21
174,Westport,US,2021-09-26 13:04:05,41.1415,-73.3579,66.88,77,1,1.01
175,Saskylakh,RU,2021-09-26 13:04:06,71.9167,114.0833,34.12,97,100,12.19
176,Luderitz,NA,2021-09-26 13:04:06,-26.6481,15.1594,70.32,58,0,15.99
177,Kaitangata,NZ,2021-09-26 13:04:06,-46.2817,169.8464,34.68,89,23,4.59
178,Bredasdorp,ZA,2021-09-26 13:04:08,-34.5322,20.0403,69.28,68,95,8.68
179,Port Alfred,ZA,2021-09-26 13:04:08,-33.5906,26.891,68.52,74,16,9.84
180,Salalah,OM,2021-09-26 13:04:08,17.0151,54.0924,84.29,89,20,13.8
181,El Bosque,MX,2021-09-26 13:04:09,17.0667,-92.7333,58.01,98,71,0.72
182,Egvekinot,RU,2021-09-26 13:04:09,66.3167,-179.1667,20.25,79,47,6.17
183,Hofn,IS,2021-09-26 13:04:09,64.2539,-15.2082,41.02,87,90,8.05
184,Bhachau,IN,2021-09-26 13:04:09,23.2833,70.35,89.49,56,89,3.51
185,Talnakh,RU,2021-09-26 13:04:10,69.4865,88.3972,34.36,55,77,4.85
186,Iquique,CL,2021-09-26 13:02:39,-20.2208,-70.1431,62.83,63,19,4.79
187,Terrasini,IT,2021-09-26 13:04:10,38.146,13.0844,85.08,65,0,6.91
188,Nome,US,2021-09-26 13:04:11,64.5011,-165.4064,42.87,76,90,17.27
189,Hamilton,US,2021-09-26 13:01:39,39.1834,-84.5333,56.77,87,8,4.83
190,Upata,VE,2021-09-26 13:04:11,8.0086,-62.3989,79.2,69,2,3.49
191,Tual,ID,2021-09-26 13:04:11,-5.6667,132.75,81.12,85,99,17.81
192,Lac Du Bonnet,CA,2021-09-26 13:04:12,50.2536,-96.0612,51.6,64,99,2.44
193,Tasiilaq,GL,2021-09-26 13:04:12,65.6145,-37.6368,39.36,69,35,3.89
194,Dingle,PH,2021-09-26 13:04:12,10.9995,122.6711,78.15,89,93,1.63
195,Mar Del Plata,AR,2021-09-26 13:00:30,-38.0023,-57.5575,64.13,47,0,13.0
196,Kodiak,US,2021-09-26 13:04:13,57.79,-152.4072,37.56,91,94,9.13
197,Vao,NC,2021-09-26 13:04:13,-22.6667,167.4833,68.14,68,85,8.68
198,Brownsville,US,2021-09-26 13:04:13,25.9018,-97.4975,73.38,88,20,2.3
199,Samarai,PG,2021-09-26 13:04:14,-10.6167,150.6667,79.36,86,87,11.86
200,Narsaq,GL,2021-09-26 13:04:14,60.9167,-46.05,35.82,36,0,6.04
201,Caravelas,BR,2021-09-26 13:04:15,-17.7125,-39.2481,80.26,53,100,8.63
202,Kota Bahru,MY,2021-09-26 13:04:15,6.1333,102.2386,79.14,85,97,3.89
203,Lima,PE,2021-09-26 13:00:58,-12.0432,-77.0282,59.14,87,61,7.43
204,Polunochnoye,RU,2021-09-26 13:04:16,60.8697,60.4153,39.83,62,98,7.76
205,Hithadhoo,MV,2021-09-26 13:04:16,-0.6,73.0833,82.18,75,30,16.91
206,Cururupu,BR,2021-09-26 13:04:16,-1.8283,-44.8683,84.88,61,83,9.37
207,Saint-Philippe,RE,2021-09-26 13:04:17,-21.3585,55.7679,77.22,83,46,14.61
208,Tecoanapa,MX,2021-09-26 13:04:17,16.5167,-98.75,76.21,94,100,6.26
209,Vila Franca Do Campo,PT,2021-09-26 13:04:17,37.7167,-25.4333,74.19,70,100,4.03
210,Tuktoyaktuk,CA,2021-09-26 13:04:17,69.4541,-133.0374,33.48,99,100,11.54
211,Sal Rei,CV,2021-09-26 13:04:18,16.1833,-22.9167,84.4,65,40,14.97
212,Conneaut,US,2021-09-26 13:04:18,41.9476,-80.5542,58.41,74,18,14.38
213,Jibuti,DJ,2021-09-26 13:04:18,11.5,42.5,89.02,33,83,18.72
214,Haapiti,PF,2021-09-26 13:04:19,-17.5667,-149.8667,78.53,80,9,14.56
215,Husavik,IS,2021-09-26 13:04:19,66.0449,-17.3389,42.04,97,100,29.8
216,Raudeberg,NO,2021-09-26 13:04:19,61.9875,5.1352,65.98,75,100,18.95
217,Cabo San Lucas,MX,2021-09-26 13:00:47,22.8909,-109.9124,82.51,84,1,13.8
218,Kloulklubed,PW,2021-09-26 13:04:20,7.0419,134.2556,79.3,74,100,6.55
219,Merauke,ID,2021-09-26 13:04:20,-8.4667,140.3333,77.74,88,100,13.18
220,Auki,SB,2021-09-26 13:04:20,-8.7676,160.7034,77.31,88,37,4.18
221,Helong,CN,2021-09-26 13:04:21,42.5397,128.9972,57.52,95,88,2.08
222,Laguna,US,2021-09-26 13:04:21,38.421,-121.4238,64.22,84,1,3.0
223,Soyo,AO,2021-09-26 13:04:21,-6.1349,12.3689,78.49,75,88,9.98
224,Las Vegas,US,2021-09-26 13:04:22,36.175,-115.1372,76.78,44,1,8.05
225,Sao Joao Da Barra,BR,2021-09-26 13:04:22,-21.6403,-41.0511,78.89,66,27,17.52
226,Masallatah,LY,2021-09-26 13:04:22,32.6167,14.0,83.44,38,11,14.27
227,Vanimo,PG,2021-09-26 13:04:23,-2.6741,141.3028,78.93,89,33,4.29
228,Homer,US,2021-09-26 12:59:24,59.6425,-151.5483,40.8,86,89,5.99
